path,subject,class,time_len,available_time_L,available_time_R
..\data\s1\f1\s1_f1_an1.avi,s1,s1,5.459591836734694,1.9522448979591838,3.7137414965986393
..\data\s1\f1\s1_f1_an2.avi,s1,s1,4.493061224489796,1.6615873015873015,3.22702947845805
..\data\s1\f1\s1_f1_an3.avi,s1,s1,4.989387755102041,1.7947392290249433,3.6658503401360543
..\data\s1\f1\s1_f1_di1.avi,s1,s1,6.243265306122449,2.5732879818594103,4.9189569160997735
..\data\s1\f1\s1_f1_di2.avi,s1,s1,5.459591836734694,0.29061224489795917,3.828480725623583
..\data\s1\f1\s1_f1_di3.avi,s1,s1,5.98204081632653,2.2722448979591836,4.566848072562358
..\data\s1\f1\s1_f1_di4.avi,s1,s1,6.243265306122449,2.36984126984127,6.228117913832199
..\data\s1\f1\s1_f1_fe1.avi,s1,s1,4.2057142857142855,1.574421768707483,2.992426303854875
..\data\s1\f1\s1_f1_fe2.avi,s1,s1,5.746938775510204,2.5194104308390024,4.518367346938776
..\data\s1\f1\s1_f1_fe3.avi,s1,s1,6.243265306122449,2.3011791383219955,3.8383219954648524
..\data\s1\f1\s1_f1_fe4.avi,s1,s1,4.989387755102041,1.825079365079365,3.5482539682539684
..\data\s1\f1\s1_f1_fe5.avi,s1,s1,5.746938775510204,2.3379591836734694,4.515646258503401
..\data\s1\f1\s1_f1_ha1.avi,s1,s1,5.459591836734694,2.2611791383219955,3.646893424036281
..\data\s1\f1\s1_f1_ha2.avi,s1,s1,5.459591836734694,2.0941950113378685,3.614739229024943
..\data\s1\f1\s1_f1_ha3.avi,s1,s1,5.746938775510204,2.137687074829932,3.959047619047619
..\data\s1\f1\s1_f1_sa1.avi,s1,s1,6.243265306122449,2.844126984126984,4.344625850340136
..\data\s1\f1\s1_f1_sa2.avi,s1,s1,5.224489795918367,2.4716553287981857,3.752743764172336
..\data\s1\f1\s1_f1_sa3.avi,s1,s1,5.224489795918367,2.5508843537414965,3.6705215419501136
..\data\s1\f1\s1_f1_sa4.avi,s1,s1,5.459591836734694,2.356780045351474,4.007709750566893
..\data\s1\f1\s1_f1_sa5.avi,s1,s1,5.746938775510204,3.114920634920635,4.071609977324263
..\data\s1\f1\s1_f1_su1.avi,s1,s1,4.989387755102041,2.3449433106575963,3.7314739229024942
..\data\s1\f1\s1_f1_su2.avi,s1,s1,5.459591836734694,2.3006802721088437,3.971972789115646
..\data\s1\f1\s1_f1_su3.avi,s1,s1,4.493061224489796,2.2998185941043086,3.441360544217687
..\data\s1\f1\s1_f1_su4.avi,s1,s1,6.243265306122449,3.409659863945578,4.927437641723356
..\data\s1\f1\s1_f1_su5.avi,s1,s1,5.98204081632653,2.7006802721088436,3.9881179138321996
..\data\s2\f1\s2_f1_an1.avi,s2,s2,4.989387755102041,2.396190476190476,3.432517006802721
..\data\s2\f1\s2_f1_an2.avi,s2,s2,5.98204081632653,2.3134240362811793,4.347755102040816
..\data\s2\f1\s2_f1_an3.avi,s2,s2,5.98204081632653,3.0104308390022676,4.380453514739229
..\data\s2\f1\s2_f1_di1.avi,s2,s2,5.98204081632653,3.534557823129252,4.517777777777778
..\data\s2\f1\s2_f1_di2.avi,s2,s2,5.98204081632653,3.1485714285714286,4.4327437641723355
..\data\s2\f1\s2_f1_di3.avi,s2,s2,6.713469387755102,2.8522448979591837,4.206258503401361
..\data\s2\f1\s2_f1_di4.avi,s2,s2,5.98204081632653,3.060090702947846,4.30875283446712
..\data\s2\f1\s2_f1_di5.avi,s2,s2,5.459591836734694,2.6550566893424037,3.842312925170068
..\data\s2\f1\s2_f1_fe1.avi,s2,s2,4.2057142857142855,2.1731972789115646,3.1867120181405895
..\data\s2\f1\s2_f1_fe2.avi,s2,s2,5.459591836734694,2.3607256235827663,5.450748299319728
..\data\s2\f1\s2_f1_fe3.avi,s2,s2,5.459591836734694,3.5360544217687075,3.7765532879818595
..\data\s2\f1\s2_f1_fe4.avi,s2,s2,5.746938775510204,3.283718820861678,4.349705215419501
..\data\s2\f1\s2_f1_ha1.avi,s2,s2,5.746938775510204,2.5360090702947846,3.505442176870748
..\data\s2\f1\s2_f1_ha2.avi,s2,s2,5.98204081632653,3.1620408163265306,4.475102040816327
..\data\s2\f1\s2_f1_ha3.avi,s2,s2,4.989387755102041,2.1016780045351475,3.337278911564626
..\data\s2\f1\s2_f1_ha4.avi,s2,s2,4.989387755102041,2.450839002267574,3.6733333333333333
..\data\s2\f1\s2_f1_sa1.avi,s2,s2,5.98204081632653,2.7653514739229026,4.537460317460318
..\data\s2\f1\s2_f1_sa2.avi,s2,s2,6.478367346938776,3.700362811791383,4.626802721088436
..\data\s2\f1\s2_f1_sa3.avi,s2,s2,6.713469387755102,3.7701587301587303,4.868979591836735
..\data\s2\f1\s2_f1_sa4.avi,s2,s2,5.746938775510204,2.7868480725623583,3.38562358276644
..\data\s2\f1\s2_f1_sa5.avi,s2,s2,5.224489795918367,2.8099773242630386,3.5708390022675736
..\data\s2\f1\s2_f1_su1.avi,s2,s2,5.224489795918367,2.634512471655329,3.793968253968254
..\data\s2\f1\s2_f1_su2.avi,s2,s2,4.989387755102041,2.2434467120181405,3.559047619047619
..\data\s2\f1\s2_f1_su3.avi,s2,s2,5.224489795918367,2.3988208616780047,3.6217233560090705
..\data\s2\f1\s2_f1_su4.avi,s2,s2,4.989387755102041,2.5541043083900226,3.761451247165533
..\data\s3\f1eng\s3_f1eng_an1.avi,s3,s3,6.321632653061225,1.722312925170068,4.153015873015873
..\data\s3\f1eng\s3_f1eng_an2.avi,s3,s3,5.511836734693878,1.7606349206349206,3.7978684807256236
..\data\s3\f1eng\s3_f1eng_an3.avi,s3,s3,5.5902040816326535,1.773424036281179,3.710657596371882
..\data\s3\f1eng\s3_f1eng_di1.avi,s3,s3,6.243265306122449,1.95437641723356,4.399637188208617
..\data\s3\f1eng\s3_f1eng_di2.avi,s3,s3,6.060408163265306,2.337369614512472,4.125487528344671
..\data\s3\f1eng\s3_f1eng_di3.avi,s3,s3,6.9746938775510205,2.087437641723356,5.337006802721088
..\data\s3\f1eng\s3_f1eng_di4.avi,s3,s3,6.661224489795918,2.388843537414966,4.449251700680272
..\data\s3\f1eng\s3_f1eng_di5.avi,s3,s3,7.079183673469387,2.917777777777778,4.624897959183674
..\data\s3\f1eng\s3_f1eng_fe1.avi,s3,s3,6.164897959183674,1.976780045351474,4.238956916099773
..\data\s3\f1eng\s3_f1eng_fe2.avi,s3,s3,5.381224489795918,2.0169614512471656,3.693922902494331
..\data\s3\f1eng\s3_f1eng_ha1.avi,s3,s3,5.5902040816326535,2.023764172335601,3.416598639455782
..\data\s3\f1eng\s3_f1eng_ha2.avi,s3,s3,5.381224489795918,2.0095691609977324,3.8844444444444446
..\data\s3\f1eng\s3_f1eng_ha3.avi,s3,s3,4.806530612244898,2.0575056689342404,3.595374149659864
